Ticker,Filing Date,Actual Purchase Date,Purchase Price,Sell Date,Sell Price,Return on Investment
 OCUL,2020-01-03 19:45:27,2020-01-06,4.289999961853027,2020-01-09,4.409999847412109,0.027972001544552264
 SALM,2020-01-03 19:25:05,2020-01-06,1.5399999618530273,2020-01-09,1.559999942779541,0.012987000923330156
 AGR,2020-01-03 18:46:59,2020-01-06,51.0,2020-01-09,50.75,-0.004901960784313725
 PFHO,2020-01-03 18:19:36,2020-01-06,20.479999542236328,2020-01-09,1.2999999523162842,-0.9365234384094947
 FPI,2020-01-03 18:05:50,2020-01-06,6.670000076293945,2020-01-09,6.699999809265137,0.0044977110386871496
 CWGL,2020-01-03 17:05:39,2020-01-06,7.199999809265137,2020-01-09,7.25,0.006944471119363338
 CWGL,2020-01-03 16:59:34,2020-01-06,7.199999809265137,2020-01-09,7.25,0.006944471119363338
 WINT,2020-01-03 16:41:48,2020-01-06,11340.0,2020-01-09,11340.0,0.0
 PFMT,2020-01-03 16:38:52,2020-01-06,1.090000033378601,2020-01-09,1.159999966621399,0.06422012027451383
 IFF,2020-01-03 16:37:31,2020-01-06,126.30000305175781,2020-01-09,123.63999938964844,-0.021060994440509268
 FRME,2020-01-03 16:36:54,2020-01-06,40.869998931884766,2020-01-09,41.06999969482422,0.004893583757434903
 KFS,2020-01-03 16:31:12,2020-01-06,1.8300000429153442,2020-01-09,1.809999942779541,-0.01092901621135559
 ISBA,2020-01-03 16:22:32,2020-01-06,24.389999389648438,2020-01-09,24.25,-0.005740032519552084
 ISBA,2020-01-03 16:22:11,2020-01-06,24.389999389648438,2020-01-09,24.25,-0.005740032519552084
 CAG,2020-01-03 16:16:50,2020-01-06,33.7599983215332,2020-01-09,32.209999084472656,-0.04591230195861437
 EPD,2020-01-03 16:10:41,2020-01-06,28.700000762939453,2020-01-09,28.559999465942383,-0.004878093842347738
 BCDA,2020-01-03 15:51:42,2020-01-03,60.0,2020-01-06,60.75,0.0125
 RVP,2020-01-03 14:32:18,2020-01-03,1.4800000190734863,2020-01-06,1.5499999523162842,0.047297251581536734
 EVV,2020-01-03 14:16:57,2020-01-03,13.3100004196167,2020-01-06,13.279999732971191,-0.002253995920337602
 EFR,2020-01-03 14:09:50,2020-01-03,13.550000190734863,2020-01-06,13.550000190734863,0.0
 FLXS,2020-01-03 13:50:15,2020-01-03,19.889999389648438,2020-01-06,20.479999542236328,0.029663155892048477
