,X,Filing Date,Trade Date,Ticker,Company Name,Insider Name,Title,Trade Type  ,Price,Qty,Owned,ΔOwn,Value,1d,1w,1m,6m
0,,2008-01-04 21:18:41,2008-01-02, ZLC,Zale Corp,Breeden Capital Management LLC,10%,P - Purchase,$16.21,"+339,449","8,394,998",+4%,"+$5,501,416",+11,+6,+28,+31
1,,2008-01-04 21:15:31,2007-12-31, ZLC,Zale Corp,Breeden Capital Management LLC,10%,P - Purchase,$15.89,"+786,392","8,055,549",+11%,"+$12,498,600",+11,+6,+28,+31
2,D,2008-01-04 21:15:01,2007-12-14, NHPI,"Neuro-Hitech, Inc.",Dantzker David,Dir,P - Purchase,$0.00,"+250,000","1,358,781",+23%,+$0,,,,
3,,2008-01-04 21:14:47,2007-12-28, ZLC,Zale Corp,Breeden Capital Management LLC,10%,P - Purchase,$15.66,"+1,324,159","7,269,157",+22%,"+$20,738,316",+11,+6,+28,+31
4,M,2008-01-04 20:56:29,2008-01-03, ICTL,International Commercial Television Inc,Praetorian Capital Management LLC,10%,P - Purchase,$2.65,"+14,875","1,562,875",+1%,"+$39,440",,,,
5,M,2008-01-04 19:48:51,2008-01-02, OPTV,Opentv Corp,Kudelski Andre,"Dir, 10%",P - Purchase,$1.24,"+81,293","13,766,348",+1%,"+$101,073",,,,
6,,2008-01-04 19:48:31,2008-01-03, OPTV,Opentv Corp,Kudelski Andre,"Dir, 10%",P - Purchase,$1.26,"+26,261","13,792,609",0%,"+$33,210",,,,
7,M,2008-01-04 19:48:16,2008-01-02, OPTV,Opentv Corp,Kudelski Sa,10%,P - Purchase,$1.24,"+81,293","13,766,348",+1%,"+$101,073",,,,
8,,2008-01-04 19:46:47,2008-01-03, OPTV,Opentv Corp,Kudelski Sa,10%,P - Purchase,$1.26,"+26,351","13,792,609",0%,"+$33,323",,,,
9,M,2008-01-04 19:33:21,2008-01-02, IESC,Integrated Electrical Services Inc,Gendell Jeffrey L Et Al,10%,P - Purchase,$18.22,"+142,900","7,755,209",+2%,"+$2,603,070",+1,+2,-20,-2
10,DM,2008-01-04 19:01:24,2007-12-05, CAU,Canyon Resources Corp,Hedgehog Capital LLC,10%,P - Purchase,$0.40,"+122,243","3,228,402",+4%,"+$48,426",,,,
11,M,2008-01-04 19:01:18,2008-01-02, KIDS,"Babyuniverse, Inc.",Textor John C,Dir,P - Purchase,$5.57,"+7,914","2,138,039",0%,"+$44,054",,,,
12,DM,2008-01-04 18:25:02,2008-01-02, EQY,"Equity One, Inc.",Katzman Chaim,"COB, 10%",P - Purchase,$22.49,"+3,700","68,894,186",0%,"+$83,201",+3,+3,+10,-5
13,,2008-01-04 18:00:10,2008-01-03, HYTM,Hythiam Inc,Timpe Chuck,CFO,P - Purchase,$2.49,"+4,539","28,020",+19%,"+$11,302",,,,
14,,2008-01-04 17:36:55,2008-01-02, CITP,Comsys It Partners Inc,Amalgamated Gadget LP,10%,P - Purchase,$13.73,"+83,733","3,659,881",+2%,"+$1,149,654",,,,
15,M,2008-01-04 17:34:28,2008-01-02, CHUX,O Charleys Inc,Rosenfeld Eric,10%,P - Purchase,$14.59,"+50,000","2,577,865",+2%,"+$729,580",+7,-4,+9,-18
16,M,2008-01-04 17:27:25,2008-01-02, CMRO,Comarco Inc,Broadwood Partners LP,10%,P - Purchase,$5.50,"+1,900","2,628,988",0%,"+$10,450",,,,
17,,2008-01-04 17:16:06,2008-01-02, UBSH,Union Bankshares Corp,Caton Douglas E,Dir,P - Purchase,$21.24,+925,"439,358",0%,"+$19,645",0,+4,-5,-26
18,DM,2008-01-04 17:08:50,2007-12-26, CRFT,Craftmade International Inc,Snodgrass Lary C,Dir,P - Purchase,$8.25,"+4,295","25,362",+20%,"+$35,430",,,,
19,D,2008-01-04 17:07:29,2008-01-02, ACLZ,Accelerize New Media Inc,Goldberg Daniel M,CMO,P - Purchase,$0.03,"+875,000","1,750,000",+100%,"+$26,250",,,,
20,D,2008-01-04 17:07:07,2008-01-02, ACLZ,Accelerize New Media Inc,Stein Damon S,"GC, Secretary",P - Purchase,$0.03,"+875,000","1,750,000",+100%,"+$26,250",,,,
21,,2008-01-04 17:02:26,2008-01-04, SMRT,Stein Mart Inc,Roberson Clayton E Jr,"VP, Controller",P - Purchase,$4.04,"+2,500","21,455",+13%,"+$10,097",+2,-12,+35,+11
22,,2008-01-04 16:51:11,2008-01-03, AEPI,Aep Industries Inc,Jmb Capital Partners Master Fund L.P.,10%,P - Purchase,$31.50,"+3,600","1,019,200",0%,"+$113,400",+6,+1,0,-42
23,,2008-01-04 16:47:01,2008-01-03, HT,Hersha Hospitality Trust,Patel Kiran P,Dir,P - Purchase,$9.16,"+10,000","16,000",+167%,"+$91,621",+2,-2,+6,-17
24,D,2008-01-04 16:42:58,2008-01-04, USAT,USA Technologies Inc,Jensen George R Jr,CEO,P - Purchase,$4.35,"+5,000","230,331",+2%,"+$21,750",-1,+6,+17,+18
25,,2008-01-04 16:38:33,2008-01-02, KNOL,Knology Inc,Farallon Capital Management LLC,"Member of Group Owning 10%, 10%",P - Purchase,$12.52,"+42,100","10,978,697",0%,"+$527,092",+5,+1,-1,-6
26,,2008-01-04 16:36:01,2008-01-02, KNOL,Knology Inc,Farallon Capital Partners LP,"Member of Group Owning 10%, 10%",P - Purchase,$12.52,"+42,100","10,978,697",0%,"+$527,092",+5,+1,-1,-6
27,,2008-01-04 16:33:51,2008-01-02, KNOL,Knology Inc,Farallon Partners L L C/ca,"Member of Group Owning 10%, 10%",P - Purchase,$12.52,"+42,100","10,978,697",0%,"+$527,092",+5,+1,-1,-6
28,D,2008-01-04 16:26:22,2007-12-12, DVD,Dover Motorsports Inc,Wintermantel Thomas G,"Treasurer, Assistant Secy",P - Purchase,$0.00,+48,"37,471",0%,+$0,+1,+7,+10,-26
29,D,2008-01-04 16:23:18,2007-12-18, SNRN,Sonoran Energy Inc,Williams Andrew,"SVP, Finance",P - Purchase,$0.13,"+800,000","800,000",New,"+$100,000",,,,
